observer,orientation,reported,rt
2,125,130,1.60093135298985
2,24,27,2.09541112417583
2,77,84,2.42495763538091
2,145,143,2.56624787710416
2,108,119,2.16600866356066
2,176,170,1.4478859985129
2,89,90,6.09800975700136
2,20,23,0.894639060287318
2,176,174,1.83636823336201
2,42,31,1.25955478042988
2,125,131,1.74223465629575
2,33,30,0.929884806176688
2,78,64,1.12998793047609
2,173,170,1.47141985926464
2,1,3,1.69511344450393
2,99,99,1.48313050044226
2,151,135,2.20132282726036
2,82,76,0.623814311575188
2,126,120,2.60156919357496
2,58,55,1.65987422940543
2,62,61,1.55389752940164
2,117,79,1.07119961611397
2,16,18,2.66040135753383
2,147,141,2.08368368953643
2,170,158,1.42438945656659
2,154,145,2.35435823005582
2,101,102,2.04828369258348
2,29,22,1.77755908266636
2,131,135,2.67219254513338
2,146,132,1.35374433570496
2,131,127,2.01296330908326
2,135,127,1.43605873606793
2,31,32,1.02408027026286
2,152,144,1.04764709595929
2,175,161,0.977010993809017
2,67,66,1.84815973195145
2,99,103,1.5420621812159
2,40,44,1.62448511710454
2,147,139,1.28312720394752
2,150,146,2.77819412434064
2,179,161,1.04761444200449
2,85,75,1.17717040730668
2,39,44,1.75388620936383
2,156,146,1.49496678159812
2,80,80,1.81284308033173
2,14,19,2.01295802225286
2,149,139,1.02405476907916
2,35,24,1.7422710421306
2,102,120,2.69581161715769
2,39,33,1.03586306113129
2,48,41,1.29484219898586
2,39,34,1.42437888290533
2,44,45,1.17714646107333
2,43,32,2.27193062931656
2,175,176,2.97830409042081
2,132,125,1.41252860719715
2,15,14,1.54207741972778
2,20,12,1.17711598404867
2,140,131,1.98948200564973
2,113,124,1.81287106943591
2,134,136,1.8128315736999
2,114,121,1.50676512196878
2,5,3,1.38906129831503
2,164,166,1.88346767585017
2,129,128,1.91882382320591
2,121,125,1.04767321912323
2,139,137,1.436124043978
2,19,17,0.812152682429314
2,147,141,1.13009335610195
2,100,91,2.27187745001856
2,116,126,2.41327187340721
2,65,58,2.44862148997208
2,4,4,2.73093514395896
2,40,26,1.84818585511539
2,133,127,2.02470225035495
2,157,162,1.7304319620639
2,63,47,1.5891236829184
2,49,56,2.22482123514692
2,175,175,1.23593633038581
2,51,46,2.36614755171513
2,129,133,1.82462742615007
2,89,89,2.30730170419429
2,124,122,1.33016631436658
2,140,143,1.44786485118993
2,136,140,1.36544004936059
2,179,0,2.1189767059127
2,21,11,1.87171878289655
2,156,144,1.3301638264461
2,58,47,2.00126075364687
2,158,142,1.56564051354417
2,153,153,1.51851525888196
2,31,21,2.40142937244991
2,3,2,2.36616807705877
2,13,10,1.48318678964051
2,131,137,1.77756779038782
2,159,164,1.55387171722805
2,37,34,1.42432663657701
2,68,56,1.82460876674759
2,75,73,1.84817434848355
2,151,142,1.7539602249949
2,164,158,2.54269660090995
2,120,136,2.82528517009769
2,97,104,1.97765007835415
2,31,17,1.89527658988209
2,129,138,1.69509944995207
2,91,92,2.86057569855348
2,176,176,1.91879365717159
3,30,77,1.39640096320136
3,173,169,1.4832175254632
3,34,36,3.63763793617659
3,107,109,2.47207222952881
3,23,31,1.78931167426055
3,123,117,1.75397096650102
3,118,110,2.31907957855742
3,121,117,1.17708419179809
3,109,121,1.61265571708776
3,162,158,1.43609803307515
3,30,37,1.34184754163158
3,153,140,1.64804836034654
3,126,122,2.16596159820773
3,94,100,2.29544239560107
3,51,40,2.84873987996366
3,9,11,0.988711648199512
3,15,17,0.647417359580572
3,94,102,1.5420977650009
3,176,166,1.4242710448396
3,16,18,1.03582460977628
3,41,32,2.10716594822554
3,95,104,2.165968751001
3,134,136,1.37726382020736
3,108,106,1.25949525536561
3,114,118,1.49493411188899
3,5,5,3.943640031634
3,137,139,1.18891739985389
3,17,23,1.22423571626047
3,174,171,2.37794768944565
3,106,110,0.847490007081262
3,142,140,1.22425002184713
3,36,37,1.90705131693812
3,114,115,1.8010885929429
3,124,120,0.68270115598466
3,147,148,1.10653308151353
3,161,152,2.90770097716484
3,32,30,2.67227642622811
3,92,88,1.45967052990068
3,22,21,1.25950396311396
3,162,159,1.89525045194773
3,5,19,3.54346923536951
3,88,90,1.97769976740983
3,12,25,1.42435843331435
3,178,178,1.51856756295314
3,163,159,1.23597407205727
3,4,19,3.47278191102112
3,73,69,0.977012477270478
3,153,150,1.17709134459142
3,26,33,1.01230871331518
3,33,27,1.67162987591144
3,29,35,1.30662190054693
3,16,21,0.823911912417429
3,50,47,0.929924083983792
3,147,148,1.54211984536278
3,114,115,0.965257327958966
3,171,171,1.17714576801882
3,10,19,2.18955897431431
3,47,39,1.37729367534473
3,98,102,2.2484236643013
3,49,54,1.96593248944885
3,96,100,1.6009910661611
3,59,56,0.870997817776129
3,124,120,1.24774912479359
3,158,159,1.16539559456351
3,156,157,1.56562547912051
3,7,10,0.588497935175155
3,56,62,1.15360032741137
3,47,55,1.53029690001051
3,165,150,0.941626986804977
3,13,16,1.61264918627649
3,64,72,1.25950520707795
3,35,29,1.48322872113965
3,121,131,1.08291704594615
3,63,69,1.16528892464589
3,58,61,1.20067534808447
3,94,107,0.800362117935833
3,15,27,0.694401259886718
3,168,156,1.28306308732601
3,154,155,2.01300595516693
3,18,21,1.03583673842581
3,37,28,2.00122872549355
3,87,84,1.71868623712373
3,90,89,0.94170255762117
3,41,33,1.10661704908705
3,55,47,2.048263317335
3,97,106,1.69508419615204
3,127,117,1.13004804500156
3,124,114,0.788630292950415
3,150,130,1.41258897841624
3,78,71,1.56562516812949
3,141,154,1.33017791484872
3,82,75,1.34190849587026
3,123,134,1.10649576259198
3,117,125,1.35371900158202
3,176,167,1.03585259896749
3,113,119,1.34195234560309
3,148,140,1.17714794495589
3,130,137,1.53033608487806
3,12,21,3.24906648272577
3,168,29,30.2317299776988
3,98,132,1.27128772359856
3,76,65,0.823924041067016
3,15,32,1.36546730909117
3,179,178,1.85997816221106
3,143,134,1.21247870100296
3,66,69,1.89522961554985
3,69,71,0.517829270287621
3,154,150,1.44788987932611
3,42,32,1.14180163935805
3,161,166,1.50674897147496
3,128,133,1.58914199756373
3,29,34,0.988798414692155
3,116,114,1.88350432137565
3,165,167,1.90704758504592
